id,state,rate,fuel_type,fuel_type_code,fips,abbrev,note,MMFR_year,effective_date,annual
12_2b_2015_2065_1,Florida,0,Liquefied Petroleum Gas,2b,12,FL,"Tax rates are variable, adjusted annually.  For gasoline and gasohol, in addition to the rates shown, there is a State-imposed State Comprehensive Enhanced Transportation System (SCETS) tax that varies by county.  All counties levy the SCETS tax on gasoline, but only one levies less than the maximum rate.  Natural gas-powered vehicles registered in the State will not pay any tax on alternative fuels from January 1, 2014 through January 1, 2019.",2015,01/01/2065 12:00:00 AM,1
12_2b_2016_2065_1,Florida,0,Liquefied Petroleum Gas,2b,12,FL,"Tax rates are variable, adjusted annually.  For gasoline and gasohol, in addition to the rates shown, there is a State-imposed State Comprehensive Enhanced Transportation System (SCETS) tax that varies by county.  All counties levy the SCETS tax on gasoline, but only one levies less than the maximum rate.  Natural gas-powered vehicles registered in the State will not pay any tax on alternative fuels from January 1, 2014 through January 1, 2019.",2016,01/01/2065 12:00:00 AM,1
12_2b_2017_2065_1,Florida,0,Liquefied Petroleum Gas,2b,12,FL,"Tax rates are variable, adjusted annually.  For gasoline and gasohol, in addition to the rates shown, there is a State-imposed State Comprehensive Enhanced Transportation System (SCETS) tax that varies by county.  All counties levy the SCETS tax on gasoline, but only one levies less than the maximum rate.  Natural gas-powered vehicles registered in the State will not pay any tax on alternative fuels from January 1, 2014 through January 1, 2019.",2017,01/01/2065 12:00:00 AM,1
12_2b_2018_2065_1,Florida,0,Liquefied Petroleum Gas,2b,12,FL,"Tax rates are variable, adjusted annually.  For gasoline and gasohol, in addition to the rates shown, there is a State-imposed State Comprehensive Enhanced Transportation System (SCETS) tax that varies by county.  All counties levy the SCETS tax on gasoline, but only one levies less than the maximum rate.  Natural gas-powered vehicles registered in the State will not pay any tax on alternative fuels from January 1, 2014 through January 1, 2019.",2018,01/01/2065 12:00:00 AM,1
12_2b_2019_2065_1,Florida,0,Liquefied Petroleum Gas,2b,12,FL,"Tax rates are variable, adjusted annually.  For gasoline and gasohol, in addition to the rates shown, there is a State-imposed State Comprehensive Enhanced Transportation System (SCETS) tax that varies by county.  All counties levy the SCETS tax on gasoline, but only one levies less than the maximum rate.  Natural gas-powered vehicles registered in the State will not pay any tax on alternative fuels from January 1, 2014 through January 1, 2019.",2019,01/01/2065 12:00:00 AM,1
12_2b_2020_2065_1,Florida,0,Liquefied Petroleum Gas,2b,12,FL,"Tax rates are variable, adjusted annually.  For gasoline and gasohol, in addition to the rates shown, there is a State-imposed State Comprehensive Enhanced Transportation System (SCETS) tax that varies by county.  All counties levy the SCETS tax on gasoline, but only one levies less than the maximum rate.  Natural gas-powered vehicles registered in the State will not pay any tax on alternative fuels from January 1, 2014 through January 1, 2019.",2020,01/01/2065 12:00:00 AM,1
12_2b_2021_2065_1,Florida,0,Liquefied Petroleum Gas,2b,12,FL,"Tax rates are variable, adjusted annually.  For gasoline and gasohol, in addition to the rates shown, there is a State-imposed State Comprehensive Enhanced Transportation System (SCETS) tax that varies by county.  All counties levy the SCETS tax on gasoline, but only one levies less than the maximum rate.  Natural gas-powered vehicles registered in the State will not pay any tax on alternative fuels from January 1, 2014 through January 1, 2019.",2021,01/01/2065 12:00:00 AM,1
12_2b_2022_2065_1,Florida,0,Liquefied Petroleum Gas,2b,12,FL,"Tax rates are variable, adjusted annually.  For gasoline and gasohol, in addition to the rates shown, there is a State-imposed State Comprehensive Enhanced Transportation System (SCETS) tax that varies by county.  All counties levy the SCETS tax on gasoline, but only one levies less than the maximum rate.  Natural gas-powered vehicles registered in the State will not pay any tax on alternative fuels from January 1, 2014 through January 1, 2019.",2022,01/01/2065 12:00:00 AM,1
12_2b_2023_2065_1,Florida,0,Liquefied Petroleum Gas,2b,12,FL,"Tax rates are variable, adjusted annually.  For gasoline and gasohol, in addition to the rates shown, there is a State-imposed State Comprehensive Enhanced Transportation System (SCETS) tax that varies by county.  All counties levy the SCETS tax on gasoline, but only one levies less than the maximum rate.  Natural gas-powered vehicles registered in the State will not pay any tax on alternative fuels from January 1, 2014 through January 1, 2019.",2023,01/01/2065 12:00:00 AM,1
13_1a_2013_1971_7,Georgia,7.5,Gasoline,1a,13,GA,,2013,07/01/1971 12:00:00 AM,1
